Text,Label
"I am actively looking for remote work that starts in the fall. Jobs I am interested and qualified for are Clerical Work, Data Entry, Non-Profit Administration, and entry level front end web development. I've attached my resume for you to share and review!",0
"Hey Software Developers,I'm #hiring! Junior Software Developers welcome to apply. Recruiters and 3rd parties are immediately ignored. What I'm looking for:- Someone highly motivated and curious - Someone that loves programming - Someone that loves collaborating - Someone with good analytical thinking skills Our tech stack includes: - ASP.NET Core - React - Xamarin Remote friendly, but your residency must be in: - Louisiana - Texas - Mississippi - Alabama - Georgia - Florida - Arkansas Send me a connection request or DM if interested",0
"Happy Monday LinkedIn Family, A Kforce client is looking for Web Developers for a fully remote contract! Open to C2C, looking for mid-level and Sr resources. Must have:-Angular 11 experience I know this version is very new, so I was curious to see if any companies have upgraded to version 11 yet. Please let me know if there is anyone in your network who is interested. Anyone interested, or if has recommendations, please comment/message, and we can discuss further. :D",1
"Hey Network,I am looking for an iOS/ React Native developer interested in building a small mobile app on AppStore (3-4 screens) for a personal project. They would need to also do some basic backend. I will provide the needed high-fidelity designs and assets.Since everything is remote, location doesn't matter.It will be paid, so can consider it as a side gig/freelance project. Anyone interested, or if has recommendations, please comment/message, and we can discuss further. :D",1
"Hey LinkedIn friends! I am currently outsourcing a website's development so if you or someone you know would be interested, please shoot me a message! We are looking for developer with web design experience.",1
I'm looking for recommendations for professionals who can help me with Application Development. #ApplicationDevelopment #findapro,1
Hi everyone - I am looking for internship as Flutter developer and would appreciate your support.,0
"Greetings all!I am humbly proud and ecstatic to share that I have received full-time offers from Apple, JPMorgan Chase & Co., Myntra, Flipkart, Walmart Global Tech India, and after giving it a thought I have decided to proceed further by joining Apple as a Software Development Engineer.Though Iâ€™m grateful for all the opportunities, Iâ€™m proud of the journey and my growth curve. I still have a lot to learn. It has been a great journey with ups and downs.This could never have been possible without the support of my family and friends who believed in me relentlessly. I would like to express my sincere gratitude to everyone involved throughout my recruitment process.Looking forward to the new journey ahead!",0
"Hello all,One of my friends is looking for a job change. She has 4+ years of proven experience in backend and frontend development Technologies : # Angular, # Laravel, # PHP, # Python[beginner] Location : Ahmedabad Do let us know if you have any options which suits to her profile or Just help her by sharing the post and clicking on the like icon.Thanks in Advance",0
"We are currently looking for the following positions: For local employment only (Philippines) ALL positions are for full-time WFH/remote setup. 10 NetSuite Developers 10 NetSuite Functional Consultants 10 NetSuite Financial Consultants 5 Full Stack Developers (Python/Java/Kubernetes) 2 Kubernetes Administrators 20 PHP/Laravel Developers 5 Java Developers 5 Automations QAs 10 Senior Accountants 3 Tax Specialists If interested, please send updated CV to ritthiel@atticus.ph or shoot me message.",0
HIRING - Senior Full Stack Developers - Manchester based (temporarily remote) up to Â£50k with a great benefits package. If you're looking for your next opportunity then get in touch today! Further details on the role can be found here: https://lnkd.in/dpPXUhd #hiringdevelopers #phpdevelopers #streetlife #top100companies #Proptech,0
Looking for Midsize eCommerce solutions service provider based out of India. (Magento Exp. preferable) . DM if interested. premkumar.r@ 4iapps .com #ecommerce #magentodevelopment,1
"Abhishek Shetty has 7.5 Years of experience working as a Product Manager and currently looking for a job change for the position of Product Manager or Senior Product Manager in any #IT #Software or #Ecommerce industries.Preferred Location: #Uae #Germany #Malaysia #BangaloreHe is a goal-oriented professional with 7.5+ years of experience in Product Analytics, Product Management, Wireframing, UX Design, Sprint Planning, Market Research, Feature Release, User Adoption, and Data Analysis. A traveler by heart, he is an eager explorer & open to new ideas. Highest Qualification: Bachelor of Engineering in Computer Science #skills: Product Management, UX Designing, Wireframing, Market Research, Story Prioritization, Product Backlog Grooming, Cross-Functional Management, Product Requirement Gathering and Analysis, Product Release Planning #Certifications ï‚· 2020: Product Management: Building a Product Strategy, Project Management Institute ï‚· 2020: Product Innovation for Product Managers, LinkedIn Learning, ï‚· 2020: Product Management: Building a Product Roadmap, Project Management Institute ï‚· 2017: Managed Project Risks & Changes, University of California, Irvine on Coursera ï‚· 2016: Initiated & Planned Projects, University of California, Irvine on Coursera ï‚· 2016: Budgeting & Scheduling rojects, University of California, Irvine on Coursera I've attached his resume for more details on his qualifications, experiences, and skills. With strong organizational and management skills, he can enhance the businesses and solutions of a company. Please call him to know further details. Phone: +91-9742916353 Email: abhishekshetty02@gmail.com Please do not ignore this post. If you can't offer him a job, at least like share and comment on this post so that it reaches HR",0
"Hi Everyone,I'm looking for recommendations for a SAP solutions provider.I would like to outsource some work.Connect with me at doejohn@blue.com#urgent',1
",1
"Hey Everyone,My company is looking for automating our invoice handling processes.Please comment below some recommendations for RPA solutions provider/consultants.If you are interested, please reach out to me at mel@yelco.com",1
"Microsoft Excel - A very important tool to master if you wants to make data driven decisions. Today I helped one of my friend to develop a cash projection model for a complex distribution business. His eyes were wide open, looking at the data output based on his business assumptions. I got many and one of my favourite tool I developed for myself is retirement planning tool, which I always used to make decisions around my investments. Drop me a DM if you want me to share the tool with you in an email I got the privilege to work with some great professionals who are so good in Microsoft excel and that make their life so easy and effective at work.( Harsh Saxena Harshad Nagarkar Mahesha Mahadevappa RamaMadhav Madgula CA. Amit Shrishrimal Akhil Sharma Ramu Akkili )- Amarpreet Singh",0
I'm looking for a expert in web development that kind of work with my company as a full-time job employee we need to develop a lot of different web projects month by month and that's why we need that this person have good experience and also that he's so motivated to work with us #DiseÃ±oweb #findapro #webdesign #jobopportunity #remotejob #webdevelopment #webdesign #remotejobs #hiring #remotejob #remotejobs #jobopportunity,0
"Dear Colleagues , extremely elated to share and announce the entry of Capitaland group in the India Data center business , with its first mega project in Airoli - Navi Mumbai , is very strategic as the scale of cloud adoption and data utilization of a generation of more than half a billion digital users in India is growing at an unprecedented rate. We would be leveraging the groups deep domain expertise in the Data Center business that has been acquired and developed by successfully building IT infrastructure globally . In India we would be provisioning a chain of world- class Hyper scale facilities that would support and boost the local digital economy and transformation strategies of Large enterprises across verticals. Our Hyper scale Infrastructure would have the dexterity through intelligent automation , elasticity thru programming , accessibility and consistency through pervasive visibility and resilience through new - age architectural designs and compute models .We are here for long haul , and in nearfuture , we look to expand our data center footprint in major Indian cities such as Chennai , Noida , Hyderabad and Bangalore , It would be our constant endeavor to make India a Global Data Superpower during the course of this decade . # #cloud #digital #data #transformation",0
"Things VCs will want to know before they invest in your company:VCs want you to demonstrate that there's a big market for what you're selling, and big bucks being spent in that market.VCs want you to be able to explain how you are going to use their money.VCs will want to know about the market for the product or service you're selling.
More than that, they will want to know that it's a big market.Why? VCs are in it to help you grow, and big markets support growth.Not only are big markets more stable and less inclined to volatility, they are also able to support the operations of multiple growing companies.
And if the market is growing, even better. That will give you a tail wind.On the flip side, if the market you work in is too small, there may not be room for enough growth for the investor to get a return on his or her investment.VCs want you to show how your product is different from what's out there. What makes it unique?There are several ways to stand out.Product differentiation: You've got something completely different (and hard to replicate).Process differentiation: You are selling a new, more efficient way of doing things.Price point differentiation: You have found a way to sell a product or service for less or for more (i.e. premium pricing).Super niche differentiation: You've found a market that's a particularly good fit for you.The Five Cs are:1. CMRR, ARR, & ARRR â€“ Committed monthly recurring revenue, annual recurring revenue, and annual run rate revenue; 2. Cash flow â€“ Start with gross burn rate and net burn rate, then hopefully turn to free cash flow over time; 3. CAC â€“ Customer acquisition cost payback period. 4. CLTV â€“ Customer lifetime value. 5. Churn & renewal rates â€“ Logo churn, CMRR churn and CMRR renewed. Investors simply looking for a return often develop a philosophy nonetheless â€“ usually around their past ability to pick winners. For Details Please Chk My Blog: Google Arijit Bhattacharyya and see the blog section, link is in comments",0
"Hello Network, 

One of my friends Nikhil Virani is looking for Job change as a Sr. .Net Developer and currently, he is having experience of 4years.

Here are his expertise C#, .Net Core, Web App, Web API, MVC, Entity Framework, SQL.

Please do connect him in case of any openings related to his skills.

Preferred Location: #Ahmedabad 
Notice Period: 2 Months

Thanks,",0
"We are looking for the following senior roles
Senior Manager - Internal Audit AED 42,000/-
Finance Manager CA AED 22,000/-
Investment Manager Alternative Investments AED 40,000/-
Head of Finance KSA SAR 40,000/-
Marketing & Communications Manager AED 18,000/-
General Manager - Contracting OMAN AED 40,000/-
Deputy GenEral Manager - Product Development AED 25,000/-
Project Manager - Chemical Factory Setup AED 25,000/-",0
"6 months into the year - 12 months into Gorillas... After reviewing Gorillas Q2, I am proud of how my team constructs this beautiful business and felt like sharing some of the milestones ????

THANK YOU goes to the communities forming Gorillas’ core: employees, customers, partners, suppliers and investors. Without the strong communities, hitting these milestones would not have been possible.

I want to moonwalk when I think about Q2 - it was a quarter that my young, dedicated & cohesive team laser focused on attraction in the presence of distraction. Here's Gorillas Q2

?? We have delivered over 2.5M orders with an average delivery time of 10.8 minutes, always #fasterthanyou
??????? The bike crew covered distances that amount to riding 161 times around the world on bikes - wow! 
?? Our crew grew by 6000 new team members in Q2 alone, this is more than 65 new members starting every day 
?? We grew together: 400+ former riders changed roles within Gorillas through our internal career development program
?? Immediate access to essential needs in more places: in Q2, we’ve launched 5 new countries and 39 new cities 
?? We’ve developed our very own rider app, picker app, warehouse management software and rolling it out to more warehouses every day
?? We mapped every single process in the business, I mean it by every single :) & built our knowledge base enabling our constant improvement ambition

?? And my personal highlight: In a time of supersonic growth, Gorillas scored an employee happiness score of 8,6/10 - culture, work environment and people being the main drivers behind the number

This list covers three months of Gorillas - looking at it, I am beyond excited by the progress we’re making & beyond proud to feel it's the first day everyday. Ready for whatever the rest of 2021 might bring ???? #alwaysberiding

Thank you team",0
"I am looking to hire React js developer for full time. Must have 6 months to 1 year of exp.
Location is in Lahore Cantt.

Company Name: Big Byte Insights - Pakistan

Note: Must be graduated and it will not remotely work.",0
Looking for freelance or dedicated iOS/Andriod app developers. We need mobile apps developed for an existing application. Feel free to leave a comment or email your CV to imran@reachfirst.com.,1
"Are you looking for an internship??

Bezzie Technologies Pvt. Ltd. is hiring for various profiles?

1) HR Intern

2)Embedded Hardware Development Intern

3)Embedded Firmware Development Intern

4) Mobile App Development Intern (#Android and #Flutter)

5) Web and UI designer Intern

6) Web Development Intern ( #Codeigniter, #PHP, #Laravel)

The candidate should have basic knowledge about the particular field.
Come and join our organization.

Please share your CV at hr@bezzietechnologies.com

Preference (Punjab)!
Location- Mohali",0
"Hello Everyone

I’m looking for a new opportunity as a mobile applications developer
I am a Flutter Application Developer. I have 1 year of experience.

I have excellent knowledge in

#Java | Kotlin | Sql |No Sql | Dart| Firebase | Flutter| Rest API |ios App By Fluutter | Php Pure.
and now I'm Learn Laravel
My Portfolio WebSite: https://lnkd.in/dKxh756

I would appreciate your support.
Thank you in advance for any connections, advice, or opportunities you can offer.",0
"Looking for an experienced mobile app developer for a client of mine preferably with experience in Java, SQL, and Dart. Pay will be hourly and 1099. Need work on an existing app and not a new app created. Send me a message if you’re interested or know someone who is.",0
An extremely talented and driven friend of mine is looking for iOS/Full-Stack mobile app devs for an exciting new project involving sports and sponsorships. Please share if you know anyone looking to get in on a great idea on the ground floor.,1
